顾客编号,大类编码,中类编码,小类编码,销售日期,商品编码,规格型号,商品类型,销售数量,销售金额,商品单价,是否促销
1968,12,1203,120309,2015-03-14,DW-1203090199,散称,生鲜,0.996,69.72,70.0,否
782,21,2103,210301,2015-03-14,DW-2103010081,144g,一般商品,1.0,19.9,19.9,否
61,22,2207,220799,2015-03-14,DW-2207990014,散称,一般商品,0.07400000000000001,3.54,47.8,否
88,13,1308,130801,2015-03-14,DW-1308010191,散称,生鲜,0.716,4.3,6.0,否
1966,12,1201,120102,2015-03-14,DW-1201020042,散称,生鲜,0.264,2.06,7.8,否
1969,12,1201,120102,2015-03-14,DW-1201020032,散称,生鲜,0.541,4.31,7.96,否
1064,22,2202,220208,2015-03-14,DW-2202080022,散称,一般商品,0.55,8.69,15.8,否
231,12,1202,120201,2015-03-14,DW-1202018269,块,生鲜,1.0,2.0,2.0,否
231,20,2010,201003,2015-03-14,DW-2010030001,4L,一般商品,1.0,109.9,109.9,否
1964,22,2207,220703,2015-03-14,DW-2207030099,50g,一般商品,1.0,14.9,14.9,否
1964,22,2210,221005,2015-03-14,DW-2210050009,78ml,一般商品,2.0,1.6,0.8,否
1432,12,1201,120104,2015-03-14,DW-1201040035,散称,生鲜,0.272,2.61,9.6,否
782,22,2205,220513,2015-03-14,DW-2205130020,200g,一般商品,4.0,27.6,6.9,否
1965,15,1510,151099,2015-03-14,DW-1510990001,500g,一般商品,1.0,10.3,10.3,否
119,20,2008,200806,2015-03-14,DW-2008060010,50g,一般商品,1.0,7.3,7.3,否
509,22,2211,221101,2015-03-14,DW-2211011550,21.6g,一般商品,1.0,5.5,5.5,否
1970,22,2203,220302,2015-03-14,DW-2203020133,51g,一般商品,1.0,2.7,2.7,否
578,12,1201,120101,2015-03-14,DW-1201010005,散称,生鲜,0.14800000000000002,0.86,5.8,否
578,12,1201,120103,2015-03-14,DW-1201030002,散称,生鲜,0.278,0.77,2.78,否
578,12,1201,120104,2015-03-14,DW-1201040016,散称,生鲜,0.37200000000000005,0.6,1.6,否
758,12,1202,120201,2015-03-14,DW-1202018073,散称,生鲜,0.5589999999999999,2.56,2.96,否
758,20,2007,200711,2015-03-14,DW-2007110001,散称,一般商品,0.11199999999999999,2.42,21.6,否
736,12,1201,120105,2015-03-14,DW-1201050255,散称,生鲜,0.282,1.95,9.6,否
47,12,1201,120101,2015-03-14,DW-1201010019,散称,生鲜,1.955,3.83,1.96,否
1971,15,1518,151813,2015-03-14,DW-1518130016,205g,一般商品,12.0,49.0,5.5,是
1972,15,1505,150505,2015-03-14,DW-1505050019,100ml*5,一般商品,1.0,10.8,10.8,否
396,12,1201,120102,2015-03-14,DW-1201020013,散称,生鲜,0.304,1.22,4.0,否
400,10,1004,100404,2015-03-14,DW-1004040019,散称,生鲜,0.542,10.62,19.6,否
21,12,1201,120101,2015-03-14,DW-1201010004,散称,生鲜,0.364,2.04,5.6,否
21,12,1201,120104,2015-03-14,DW-1201040010,散称,生鲜,0.35200000000000004,0.91,2.58,否
395,22,2205,220504,2015-03-14,DW-2205040016,80g,一般商品,1.0,15.9,15.9,否
914,15,1505,150501,2015-03-14,DW-1505010115,330ml,一般商品,1.0,3.9,6.0,是
1948,12,1202,120201,2015-03-14,DW-1202018269,块,生鲜,1.0,2.0,2.0,否
353,23,2309,230901,2015-03-14,DW-2309010086,10%330ml,一般商品,6.0,17.4,2.9,否
1432,13,1308,130801,2015-03-14,DW-1308010192,个,生鲜,4.0,2.0,0.5,否
834,20,2011,201111,2015-03-14,DW-2011110012,500mL,一般商品,1.0,5.9,5.9,否
1973,12,1203,120313,2015-03-14,DW-1203130446,散称,生鲜,0.8,24.0,30.0,否
284,12,1201,120104,2015-03-14,DW-1201040051,散称,生鲜,0.092,0.73,7.96,否
1869,22,2202,220208,2015-03-14,DW-2202080035,散称,一般商品,0.188,9.7,51.6,否
1752,10,1001,100102,2015-03-14,DW-1001020106,散称,生鲜,0.39399999999999996,7.8,19.8,否
1008,12,1203,120313,2015-03-14,DW-1203130446,散称,生鲜,0.528,15.84,30.0,否
1061,12,1201,120101,2015-03-14,DW-1201010004,散称,生鲜,0.778,4.36,5.6,否
1008,23,2307,230703,2015-03-14,DW-2307030003,125ml,一般商品,1.0,2.2,2.2,否
119,15,1517,151701,2015-03-14,DW-1517010076,60g*10,一般商品,1.0,13.9,16.9,是
88,12,1201,120101,2015-03-14,DW-1201010006,散称,生鲜,0.092,1.1,12.0,否
758,12,1201,120102,2015-03-14,DW-1201020029,散称,生鲜,1.9040000000000001,7.54,3.96,否
1966,12,1201,120102,2015-03-14,DW-1201020032,散称,生鲜,0.516,4.11,7.96,否
609,12,1201,120101,2015-03-14,DW-1201010001,散称,生鲜,0.192,1.07,5.56,否
609,31,3117,311704,2015-03-14,DW-3117040012,2+1片,一般商品,1.0,10.8,10.8,否
47,22,2205,220502,2015-03-14,DW-2205020048,散称,一般商品,0.16,1.7,11.8,是
395,12,1201,120106,2015-03-14,DW-1201060005,散称,生鲜,0.266,3.19,12.0,否
31,10,1001,100101,2015-03-14,DW-1001010194,散称,生鲜,0.32799999999999996,9.77,29.8,否
396,10,1001,100101,2015-03-14,DW-1001010194,散称,生鲜,0.18600000000000003,5.54,29.8,否
644,20,2013,201302,2015-03-14,DW-2013020105,280g,一般商品,1.0,7.9,7.9,否
914,22,2206,220607,2015-03-14,DW-2206070251,80g,一般商品,1.0,3.5,3.5,否
21,22,2206,220699,2015-03-14,DW-2206990120,100g,一般商品,1.0,2.7,2.7,否
1965,12,1201,120106,2015-03-14,DW-1201060003,散称,生鲜,0.41600000000000004,2.73,6.56,否
1973,15,1517,151701,2015-03-14,DW-1517010001,30g*10,一般商品,1.0,9.7,9.7,否
1836,15,1517,151704,2015-03-14,DW-1517040005,50g*5,一般商品,1.0,6.2,6.9,否
1288,12,1201,120102,2015-03-14,DW-1201020040,散称,生鲜,0.693,1.36,1.96,否
1288,12,1201,120104,2015-03-14,DW-1201040011,散称,生鲜,1.3,5.93,4.56,否
24,12,1201,120104,2015-03-14,DW-1201040026,散称,生鲜,0.588,1.16,1.98,否
87,22,2201,220106,2015-03-14,DW-2201060015,200g,一般商品,1.0,5.7,5.7,否
758,12,1201,120103,2015-03-14,DW-1201030001,散称,生鲜,0.47200000000000003,0.83,1.76,否
609,30,3016,301608,2015-03-14,DW-3016080259,200抽*6,一般商品,1.0,15.9,21.9,是
936,22,2203,220399,2015-03-14,DW-2203990012,15g,一般商品,1.0,1.0,1.0,否
21,20,2001,200105,2015-03-14,DW-2001050001,26g,一般商品,1.0,0.5,0.5,否
761,12,1203,120309,2015-03-14,DW-1203090216,散称,生鲜,0.892,14.18,15.9,否
782,33,3319,331903,2015-03-14,DW-3319030070,150,一般商品,2.0,6.0,3.0,否
1974,15,1518,151803,2015-03-14,DW-1518030006,190ml,一般商品,15.0,57.0,3.8,否
1061,12,1201,120103,2015-03-14,DW-1201030018,散称,生鲜,0.532,0.79,1.48,否
1161,22,2201,220112,2015-03-14,DW-2201120151,540g,一般商品,1.0,25.9,29.8,是
1969,12,1201,120102,2015-03-14,DW-1201020044,散称,生鲜,0.506,2.0,3.96,否
1752,12,1202,120201,2015-03-14,DW-1202018267,块,生鲜,2.0,3.0,1.5,否
395,22,2206,220603,2015-03-14,DW-2206030070,100g,一般商品,1.0,4.5,4.5,否
782,20,2013,201301,2015-03-14,DW-2013010019,320g,一般商品,1.0,7.9,7.9,否
48,12,1201,120102,2015-03-14,DW-1201020022,散称,生鲜,0.96,6.3,6.56,否
1963,12,1201,120104,2015-03-14,DW-1201040026,散称,生鲜,0.5820000000000001,1.15,1.98,否
210,12,1201,120106,2015-03-14,DW-1201060010,散称,生鲜,0.20199999999999999,1.82,9.0,否
782,20,2014,201404,2015-03-14,DW-2014040184,375g,一般商品,1.0,7.5,7.5,否
509,20,2011,201111,2015-03-14,DW-2011110036,1.75L,一般商品,1.0,12.9,12.9,否
145,12,1201,120102,2015-03-14,DW-1201020034,散称,生鲜,1.115,33.45,30.0,否
145,12,1203,120306,2015-03-14,DW-1203060100,散称,生鲜,1.194,14.09,11.8,否
1061,12,1201,120104,2015-03-14,DW-1201040042,散称,生鲜,0.71,5.66,7.8,否
88,15,1517,151701,2015-03-14,DW-1517010076,60g*10,一般商品,1.0,13.9,16.9,是
1765,22,2202,220205,2015-03-14,DW-2202050141,散称,一般商品,0.69,8.1,17.8,是
1969,12,1201,120101,2015-03-14,DW-1201010025,散称,生鲜,0.24100000000000002,0.95,3.96,否
87,20,2008,200809,2015-03-14,DW-2008090016,200g,一般商品,1.0,2.9,2.9,否
1967,12,1201,120102,2015-03-14,DW-1201020043,散称,生鲜,0.904,1.63,1.8,否
139,12,1201,120104,2015-03-14,DW-1201040035,散称,生鲜,0.43,4.13,9.6,否
1064,22,2201,220110,2015-03-14,DW-2201100015,散称,一般商品,0.278,3.83,19.8,是
1064,22,2202,220205,2015-03-14,DW-2202050141,散称,一般商品,0.77,9.08,17.8,是
1439,12,1202,120201,2015-03-14,DW-1202018267,块,生鲜,2.0,3.0,1.5,否
914,22,2201,220102,2015-03-14,DW-2201020042,130g,一般商品,1.0,5.3,5.3,否
231,12,1201,120106,2015-03-14,DW-1201060010,散称,生鲜,0.28800000000000003,2.59,9.0,否
1963,12,1201,120102,2015-03-14,DW-1201020044,散称,生鲜,0.525,2.06,3.96,否
93,12,1201,120102,2015-03-14,DW-1201020029,散称,生鲜,0.521,2.06,3.96,否
1975,22,2210,221004,2015-03-14,DW-2210040021,300ml,一般商品,1.0,3.5,3.5,否
1976,22,2204,220409,2015-03-14,DW-2204090054,30g,一般商品,1.0,11.9,11.9,否
1968,12,1203,120313,2015-03-14,DW-1203130446,散称,生鲜,0.606,18.18,30.0,否
61,12,1201,120104,2015-03-14,DW-1201040049,散称,生鲜,0.626,3.63,5.8,否
834,30,3006,300601,2015-03-14,DW-3006010043,508g,一般商品,1.0,4.9,4.9,否
834,31,3112,311204,2015-03-14,DW-3112040253,6024,一般商品,1.0,5.0,5.0,否
1836,20,2006,200609,2015-03-14,DW-2006090006,5kg,一般商品,1.0,69.0,69.0,否
1974,12,1203,120302,2015-03-14,DW-1203020218,散称,生鲜,1.57,15.7,10.0,否
1869,22,2202,220208,2015-03-14,DW-2202080015,散称,一般商品,0.19,4.48,29.8,是
1288,12,1201,120104,2015-03-14,DW-1201040035,散称,生鲜,0.434,4.17,9.6,否
509,22,2201,220112,2015-03-14,DW-2201120019,800g,一般商品,1.0,22.9,22.9,否
736,12,1201,120105,2015-03-14,DW-1201050011,散称,生鲜,0.542,3.56,6.56,否
736,23,2311,231104,2015-03-14,DW-2311040007,52%135ml,一般商品,1.0,8.3,8.3,否
1966,12,1201,120102,2015-03-14,DW-1201020721,散称,生鲜,0.574,2.87,5.0,否
1965,15,1521,152101,2015-03-14,DW-1521010005,散称,一般商品,0.794,5.38,6.78,否
578,12,1201,120102,2015-03-14,DW-1201020010,散称,生鲜,0.92,3.5,3.8,否
758,12,1201,120102,2015-03-14,DW-1201020010,散称,生鲜,0.682,2.59,3.8,否
24,12,1201,120101,2015-03-14,DW-1201010006,散称,生鲜,0.07200000000000001,0.86,12.0,否
24,22,2208,220802,2015-03-14,DW-2208020005,15g*3,一般商品,1.0,3.9,3.9,否
87,22,2201,220101,2015-03-14,DW-2201010003,100g,一般商品,1.0,3.5,3.5,否
758,12,1201,120104,2015-03-14,DW-1201040010,散称,生鲜,1.96,5.06,2.58,否
1439,12,1201,120102,2015-03-14,DW-1201020011,散称,生鲜,0.474,7.58,16.0,否
1439,12,1202,120204,2015-03-14,DW-1202048043,散称,生鲜,0.268,1.87,6.96,否
1439,22,2201,220111,2015-03-14,DW-2201110056,49g,一般商品,1.0,4.3,4.3,否
31,22,2202,220208,2015-03-14,DW-2202080010,散称,一般商品,0.38,6.73,25.0,是
936,12,1201,120105,2015-03-14,DW-1201050011,散称,生鲜,0.6559999999999999,4.3,6.56,否
21,20,2003,200399,2015-03-14,DW-2003990006,110g,一般商品,1.0,4.9,4.9,否
21,22,2203,220399,2015-03-14,DW-2203990115,108g,一般商品,1.0,3.7,3.7,否
396,12,1201,120105,2015-03-14,DW-1201050007,散称,生鲜,0.147,2.29,15.6,否
400,23,2309,230901,2015-03-14,DW-2309010115,9%580ml,一般商品,1.0,2.5,2.5,否
21,20,2001,200105,2015-03-14,DW-2001050023,26g,一般商品,1.0,0.5,0.5,否
118,15,1505,150501,2015-03-14,DW-1505010116,90g*（12+4),一般商品,1.0,15.9,21.9,是
88,22,2202,220299,2015-03-14,DW-2202990154,散装,一般商品,0.14,2.77,19.8,否
736,10,1001,100101,2015-03-14,DW-1001010191,散称,生鲜,0.784,23.36,29.8,否
736,15,1501,150199,2015-03-14,DW-1501990028,350g,一般商品,1.0,11.3,11.3,否
231,21,2104,210402,2015-03-14,DW-2104020023,80g,一般商品,1.0,3.0,3.0,否
48,12,1201,120106,2015-03-14,DW-1201060002,散称,生鲜,0.266,4.79,18.0,否
834,12,1201,120103,2015-03-14,DW-1201030018,散称,生鲜,0.682,1.01,1.48,否
1973,22,2203,220302,2015-03-14,DW-2203020281,45g,一般商品,1.0,3.7,3.7,否
1836,12,1201,120104,2015-03-14,DW-1201040026,散称,生鲜,0.78,1.54,1.98,否
1836,22,2201,220199,2015-03-14,DW-2201990055,散称,一般商品,0.1,3.98,39.8,否
93,12,1201,120106,2015-03-14,DW-1201060010,散称,生鲜,0.36,3.24,9.0,否
1432,22,2202,220205,2015-03-14,DW-2202050141,散称,一般商品,0.494,5.82,17.8,是
891,12,1201,120104,2015-03-14,DW-1201040035,散称,生鲜,0.47600000000000003,4.57,9.6,否
891,12,1202,120205,2015-03-14,DW-1202058086,散称,生鲜,0.966,16.42,17.0,否
1765,20,2013,201302,2015-03-14,DW-2013020105,280g,一般商品,1.0,7.9,7.9,否
284,12,1201,120102,2015-03-14,DW-1201020045,散称,生鲜,0.5820000000000001,4.42,7.6,否
1974,15,1518,151801,2015-03-14,DW-1518010031,190ml*12,一般商品,1.0,68.0,68.0,否
1869,12,1201,120101,2015-03-14,DW-1201010001,散称,生鲜,0.20800000000000002,1.16,5.56,否
231,12,1203,120313,2015-03-14,DW-1203130446,散称,生鲜,0.496,3.95,30.0,否
87,20,2008,200809,2015-03-14,DW-2008090031,275g,一般商品,1.0,3.9,3.9,否
578,12,1201,120104,2015-03-14,DW-1201040042,散称,生鲜,0.27399999999999997,2.14,7.8,否
1967,15,1521,152101,2015-03-14,DW-1521010005,散称,一般商品,1.24,8.41,6.78,否
1963,12,1201,120102,2015-03-14,DW-1201020011,散称,生鲜,0.37,5.92,16.0,否
609,12,1201,120102,2015-03-14,DW-1201020044,散称,生鲜,0.2,0.79,3.96,否
891,12,1201,120102,2015-03-14,DW-1201020022,散称,生鲜,1.17,7.68,6.56,否
891,12,1201,120104,2015-03-14,DW-1201040049,散称,生鲜,0.993,5.76,5.8,否
1278,22,2201,220111,2015-03-14,DW-2201110124,100g,一般商品,1.0,2.9,2.9,否
31,12,1201,120104,2015-03-14,DW-1201040051,散称,生鲜,0.122,1.09,7.96,否
31,12,1203,120303,2015-03-14,DW-1203030153,散称,生鲜,0.8220000000000001,2.6,3.16,否
31,22,2203,220304,2015-03-14,DW-2203040016,45g,一般商品,1.0,3.3,3.3,否
936,22,2203,220399,2015-03-14,DW-2203990017,15g,一般商品,1.0,1.0,1.0,否
936,31,3119,311911,2015-03-14,DW-3119110024,2205,一般商品,1.0,15.0,15.0,否
936,31,3126,312601,2015-03-14,DW-3126010191,2931,一般商品,1.0,4.0,4.0,否
12,20,2011,201103,2015-03-14,DW-2011030010,350mL,一般商品,1.0,1.3,1.3,否
804,22,2208,220801,2015-03-14,DW-2208010081,32g,一般商品,1.0,5.2,5.2,否
578,12,1201,120102,2015-03-14,DW-1201020022,散称,生鲜,0.37,2.43,6.56,否
47,12,1203,120313,2015-03-14,DW-1203130446,散称,生鲜,0.318,9.54,30.0,否
47,22,2205,220513,2015-03-14,DW-2205130089,散装,一般商品,0.23399999999999999,2.76,13.8,是
1439,12,1201,120101,2015-03-14,DW-1201010005,散称,生鲜,0.20800000000000002,1.21,5.8,否
936,30,3013,301303,2015-03-14,DW-3013030395,1015,一般商品,1.0,15.7,15.7,否
396,12,1201,120104,2015-03-14,DW-1201040010,散称,生鲜,0.39799999999999996,1.03,2.58,否
400,23,2306,230604,2015-03-14,DW-2306040005,550ml,一般商品,1.0,2.9,4.0,是
497,12,1201,120101,2015-03-14,DW-1201010004,散称,生鲜,0.389,2.18,5.6,否
1948,12,1201,120102,2015-03-14,DW-1201020045,散称,生鲜,0.218,1.66,7.6,否
834,30,3006,300601,2015-03-14,DW-3006010099,508g,一般商品,1.0,3.9,4.9,是
1836,12,1201,120101,2015-03-14,DW-1201010025,散称,生鲜,0.534,2.11,3.96,否
1836,15,1505,150503,2015-03-14,DW-1505030024,260g,一般商品,1.0,8.9,8.9,否
400,10,1001,100101,2015-03-14,DW-1001010205,散称,生鲜,0.314,6.22,19.8,否
21,20,2001,200105,2015-03-14,DW-2001050024,25g,一般商品,1.0,0.5,0.5,否
1836,12,1201,120102,2015-03-14,DW-1201020008,散称,生鲜,0.275,1.6,5.8,否
1836,23,2313,231302,2015-03-14,DW-2313020009,500ml,一般商品,1.0,6.7,6.7,否
1288,12,1201,120102,2015-03-14,DW-1201020045,散称,生鲜,0.542,4.12,7.6,否
1177,34,3402,340207,2015-03-14,DW-3402070216,均码,一般商品,1.0,30.0,30.0,否
118,22,2202,220205,2015-03-14,DW-2202050126,散称,一般商品,0.326,9.06,39.6,是
1752,12,1201,120104,2015-03-14,DW-1201040011,散称,生鲜,1.0,4.56,4.56,否
782,20,2015,201501,2015-03-14,DW-2015010058,280g,一般商品,1.0,3.8,3.8,否
61,12,1201,120101,2015-03-14,DW-1201010005,散称,生鲜,0.45,2.61,5.8,否
1061,10,1001,100101,2015-03-14,DW-1001010205,散称,生鲜,0.772,15.29,19.8,否
1061,12,1201,120105,2015-03-14,DW-1201050011,散称,生鲜,0.405,2.66,6.56,否
1061,12,1202,120201,2015-03-14,DW-1202018269,块,生鲜,1.0,2.0,2.0,否
88,12,1201,120101,2015-03-14,DW-1201010005,散称,生鲜,0.581,3.37,5.8,否
88,12,1201,120101,2015-03-14,DW-1201010018,散称,生鲜,0.325,3.9,12.0,否
88,12,1201,120107,2015-03-14,DW-1201070001,散称,生鲜,0.5,2.5,5.0,否
88,12,1203,120303,2015-03-14,DW-1203030153,散称,生鲜,0.72,2.28,3.16,否
736,22,2205,220502,2015-03-14,DW-2205020048,散称,一般商品,0.21600000000000003,2.3,11.8,是
1161,22,2201,220112,2015-03-14,DW-2201120150,540g,一般商品,1.0,25.9,29.8,是
782,20,2015,201501,2015-03-14,DW-2015010036,360g,一般商品,1.0,3.2,3.2,否
93,20,2005,200506,2015-03-14,DW-2005060016,500g,一般商品,1.0,4.5,4.7,否
119,20,2008,200805,2015-03-14,DW-2008050068,50g,一般商品,1.0,2.7,2.7,否
509,20,2014,201404,2015-03-14,DW-2014040046,375g,一般商品,1.0,5.9,5.9,否
1559,12,1201,120102,2015-03-14,DW-1201020013,散称,生鲜,0.337,1.35,4.0,否
1966,12,1201,120104,2015-03-14,DW-1201040031,散称,生鲜,0.6920000000000001,2.19,3.16,否
1966,12,1201,120106,2015-03-14,DW-1201060002,散称,生鲜,0.33399999999999996,6.01,18.0,否
914,22,2203,220302,2015-03-14,DW-2203020058,60g,一般商品,1.0,3.9,3.9,否
1963,12,1203,120313,2015-03-14,DW-1203130449,散称,生鲜,0.536,12.33,23.0,否
1963,12,1201,120101,2015-03-14,DW-1201010006,散称,生鲜,0.092,1.01,12.0,否
1008,23,2309,230901,2015-03-14,DW-2309010079,330ml,一般商品,1.0,1.9,2.5,是
126,12,1201,120104,2015-03-14,DW-1201040010,散称,生鲜,0.191,0.49,2.58,否
1967,12,1203,120313,2015-03-14,DW-1203130444,散称,生鲜,0.35,3.5,10.0,否
1967,13,1301,130101,2015-03-14,DW-1301010076,散称,联营商品,0.001,0.02,20.0,否
1571,12,1203,120313,2015-03-14,DW-1203130446,散称,生鲜,0.7140000000000001,21.42,30.0,否
47,12,1201,120101,2015-03-14,DW-1201010006,散称,生鲜,0.11800000000000001,1.42,12.0,否
31,22,2203,220302,2015-03-14,DW-2203020266,45g,一般商品,1.0,3.0,3.4,是
396,12,1201,120105,2015-03-14,DW-1201050004,散称,生鲜,0.28800000000000003,1.72,5.98,否
1008,23,2309,230901,2015-03-14,DW-2309010067,4.1%500ml,一般商品,1.0,9.8,9.8,否
396,12,1201,120105,2015-03-14,DW-1201050255,散称,生鲜,0.086,0.83,9.6,否
497,12,1201,120102,2015-03-14,DW-1201020013,散称,生鲜,0.478,1.91,4.0,否
1836,12,1201,120106,2015-03-14,DW-1201060010,散称,生鲜,0.242,2.18,9.0,否
39,15,1505,150503,2015-03-14,DW-1505030098,150g,一般商品,1.0,3.9,4.9,是
1174,23,2303,230305,2015-03-14,DW-2303050038,1.5L,一般商品,1.0,6.9,6.9,否
24,12,1202,120201,2015-03-14,DW-1202018269,块,生鲜,1.0,2.0,2.0,否
758,12,1201,120104,2015-03-14,DW-1201040004,散称,生鲜,1.3419999999999999,7.78,5.8,否
47,20,2007,200709,2015-03-14,DW-2007090034,200g,一般商品,1.0,3.9,3.9,否
1972,15,1518,151809,2015-03-14,DW-1518090001,200ml,一般商品,16.0,25.2,2.1,是
400,12,1203,120313,2015-03-14,DW-1203130446,散称,生鲜,0.79,23.7,30.0,否
834,21,2105,210502,2015-03-14,DW-2105020093,218g,一般商品,1.0,9.7,9.7,否
834,30,3007,300704,2015-03-14,DW-3007040192,720ml,一般商品,1.0,36.5,36.5,否
1836,12,1201,120101,2015-03-14,DW-1201010021,散称,生鲜,0.384,2.52,6.56,否
88,12,1201,120105,2015-03-14,DW-1201050011,散称,生鲜,1.0759999999999998,7.06,6.56,否
93,12,1201,120104,2015-03-14,DW-1201040010,散称,生鲜,0.664,4.23,2.58,否
1969,12,1202,120201,2015-03-14,DW-1202018269,块,生鲜,1.0,2.0,2.0,否
395,13,1308,130801,2015-03-14,DW-1308010191,散称,生鲜,0.504,3.02,6.0,否
395,20,2002,200201,2015-03-14,DW-2002010079,127g*5,一般商品,1.0,17.3,17.3,否
395,20,2011,201105,2015-03-14,DW-2011050022,800ml,一般商品,1.0,4.9,7.9,是
231,20,2008,200805,2015-03-14,DW-2008050075,40g,一般商品,1.0,2.9,2.9,否
1963,20,2011,201103,2015-03-14,DW-2011030013,620mL,一般商品,1.0,4.9,4.9,否
1964,15,1505,150501,2015-03-14,DW-1505010070,120g,一般商品,1.0,4.2,4.2,否
1964,15,1505,150504,2015-03-14,DW-1505040031,900ml,一般商品,1.0,10.9,13.5,是
1964,22,2202,220208,2015-03-14,DW-2202080019,散称,一般商品,0.26,10.35,39.8,否
1964,22,2207,220799,2015-03-14,DW-2207990016,45g,一般商品,2.0,7.0,3.5,否
12,13,1308,130801,2015-03-14,DW-1308010191,散称,生鲜,0.746,4.48,6.0,否
87,20,2008,200801,2015-03-14,DW-2008010007,100g,一般商品,1.0,2.0,2.0,否
578,12,1201,120101,2015-03-14,DW-1201010023,散称,生鲜,1.148,2.94,2.56,否
578,20,2009,200906,2015-03-14,DW-2009060028,400g,一般商品,3.0,13.5,5.9,是
609,11,1101,110107,2015-03-14,DW-1101070015,散称,生鲜,0.69,20.7,30.0,否
609,20,2008,200803,2015-03-14,DW-2008030006,100g,一般商品,1.0,4.3,4.3,否
47,12,1203,120313,2015-03-14,DW-1203130449,散称,生鲜,0.314,7.22,23.0,否
1976,22,2202,220204,2015-03-14,DW-2202040019,300g,一般商品,1.0,8.3,8.3,否
761,30,3006,300606,2015-03-14,DW-3006060107,500g*3,一般商品,1.0,12.9,19.9,是
782,33,3319,331903,2015-03-14,DW-3319030070,150,一般商品,1.0,3.0,3.0,否
1061,10,1001,100101,2015-03-14,DW-1001010194,散称,生鲜,0.4,11.92,29.8,否
1061,15,1501,150102,2015-03-14,DW-1501020015,260g*2,一般商品,1.0,12.9,17.9,是
509,22,2203,220305,2015-03-14,DW-2203050048,40g,一般商品,1.0,3.5,3.5,否
736,23,2309,230901,2015-03-14,DW-2309010121,8%330ml,一般商品,1.0,3.5,3.5,否
93,12,1201,120102,2015-03-14,DW-1201020018,散称,生鲜,0.626,3.48,5.56,否
93,12,1201,120102,2015-03-14,DW-1201020721,散称,生鲜,0.504,2.52,5.0,否
395,15,1505,150504,2015-03-14,DW-1505040040,340ml*2,一般商品,1.0,9.9,9.9,否
395,22,2205,220599,2015-03-14,DW-2205990162,散称,一般商品,0.222,13.27,71.8,是
231,12,1201,120104,2015-03-14,DW-1201040010,散称,生鲜,0.49200000000000005,1.27,2.58,否
1752,12,1201,120102,2015-03-14,DW-1201020044,散称,生鲜,0.507,2.01,3.96,否
1964,22,2201,220111,2015-03-14,DW-2201110106,48g,一般商品,1.0,6.5,6.5,否
1432,12,1201,120104,2015-03-14,DW-1201040038,散称,生鲜,0.47600000000000003,5.71,12.0,否
88,22,2202,220208,2015-03-14,DW-2202080032, ,一般商品,0.228,4.51,23.8,是
804,20,2005,200501,2015-03-14,DW-2005010013,250g,一般商品,1.0,2.9,2.9,否
24,11,1101,110107,2015-03-14,DW-1101070017,散称,生鲜,0.314,9.42,30.0,否
24,12,1201,120101,2015-03-14,DW-1201010023,散称,生鲜,1.287,3.29,2.56,否
87,20,2008,200809,2015-03-14,DW-2008090015,15g,一般商品,1.0,1.3,1.3,否
758,12,1201,120102,2015-03-14,DW-1201020013,散称,生鲜,0.445,1.78,4.0,否
1977,15,1518,151804,2015-03-14,DW-1518040041,200g*12,一般商品,1.0,66.0,66.0,否
1969,12,1203,120313,2015-03-14,DW-1203130444,散称,生鲜,0.45799999999999996,4.58,10.0,否
914,15,1501,150101,2015-03-14,DW-1501010092,130g,一般商品,1.0,4.9,4.9,否
1161,12,1203,120307,2015-03-14,DW-1203070022,散称,生鲜,1.9580000000000002,11.67,5.96,否
1161,22,2201,220112,2015-03-14,DW-2201120027,800g,一般商品,1.0,13.9,16.3,是
1559,12,1203,120303,2015-03-14,DW-1203030155,散称,生鲜,1.236,14.81,11.98,否
139,12,1201,120101,2015-03-14,DW-1201010021,散称,生鲜,0.39,2.56,6.56,否
139,15,1510,151099,2015-03-14,DW-1510990004,500g,一般商品,1.0,8.9,8.9,否
93,15,1519,151902,2015-03-14,DW-1519020024,散称,一般商品,0.628,11.18,17.8,否
47,12,1201,120101,2015-03-14,DW-1201010395,散称,生鲜,-0.436,-2.62,6.0,否
1972,15,1505,150504,2015-03-14,DW-1505040001,100g*8,一般商品,1.0,8.9,12.9,是
31,12,1201,120106,2015-03-14,DW-1201060003,散称,生鲜,0.358,2.35,6.56,否
396,12,1201,120102,2015-03-14,DW-1201020721,散称,生鲜,0.22,1.09,5.0,否
21,20,2001,200105,2015-03-14,DW-2001050005,26g,一般商品,1.0,0.5,0.5,否
21,22,2201,220111,2015-03-14,DW-2201110243,50g,一般商品,1.0,3.9,3.9,否
21,23,2306,230601,2015-03-14,DW-2306010005,268ml,一般商品,1.0,6.0,6.0,否
1976,21,2106,210699,2015-03-14,DW-2106990046,300g,一般商品,1.0,20.3,20.3,否
761,12,1203,120307,2015-03-14,DW-1203070022,散称,生鲜,1.11,6.62,5.96,否
231,12,1201,120105,2015-03-14,DW-1201050011,散称,生鲜,0.614,4.03,6.56,否
48,12,1201,120101,2015-03-14,DW-1201010018,散称,生鲜,0.32,3.84,12.0,否
48,12,1201,120102,2015-03-14,DW-1201020045,散称,生鲜,0.226,1.72,7.6,否
1971,15,1518,151801,2015-03-14,DW-1518010006,250ml*12,一般商品,1.0,65.0,65.0,否
